ลำดับ,รายการ,จำนวน,ราคา/หน่วย,หน่วย,จำนวนเงิน,cost,ราคาขาย,Barcode
86,กล่องถนอมอาหาร-จัตุรัสจิ๋ว218 W,1 โหล,87,12,87,7,15,8.85878E+12
88,โหลกลมฝาเกลียว7ลิตร6002N ตัวใสฝาสี,1 โหล,422,12,422,,,
89,โหลกลมฝาเกลียว6003 VJ,1 โหล,265,12,265,,,
91,มีดด้ามพลาสติก211P KW,2 โหล,892,12,1784,,,
92,มีดด้ามพลาสติก173P KW,2 โหล,527,12,1054,,,
93,มีด199 KW,1 โหล,788,12,788,,,
94,มีด194 KW,1 โหล,237,12,237,,,
95,มีด193 KW,3 โหล,200,12,600,,,
96,มีด195 KW,1 โหล,357,12,357,,,
97,มีด171 KW,2 โหล,715,12,1430,,,
98,มีดด้ามพลาสติก171P KW,2 โหล,535,12,1070,,,
99,มีด21 KW,1 โหล,1158,12,1158,,,
100,มีด21 KW,9 ชิ้น,98,,882,,,
101,มีด478 KW,2 โหล,512,12,1024,,,
102,ปอกผลไม้ ตัดวุ้น#568(201) PL,1 โหล,185,12,185,,,
103,มีดหั่นถ้วยเล็ก1172 BR FC,1 โหล,118,12,118,,,
104,ด้ามกระทะใหญ่ ปลายมล VK,2 โหล,167,12,334,,,
105,ตีไข่ด้ามเลส 84044,1 โหล,168,12,168,,,
106,ตีไข่ 10794 IMM,6 ชิ้น,15,,90,,,
107,ถาดกลมเลส32cm LH-4413 TLH,1 โหล,320,12,320,,,
108,ถาดกลมเลส28cm LH-4411 TLH,6 ชิ้น,18,,108,,,
109,ช้อนกลาง16ซมปลายงอ(12ชิ้น)#SK510,2 โหล,170,12,340,,,
110,กิ๊บหนีบ#01912 ดอกไม้เล็ก KKA,1 โหล,130,12,130,11,20,
111,มีดโกนกันคิ้ว#01998 (1×6) KKA,1 โหล,160,12,160,13,20,6.95673E+12
112,ยางยึด1นิ้ว2เมตร(3ส.)20บ.(บาร์45601),1 โหล,125,12,125,,,
113,กระเป๋าสตางค์#24447 หนังซิปเล็ก JCK (P15),1 โหล,85,12,85,7,15,
114,ยางรัดผม100เส้น สปริงเล็ก#01706 KKA (P5),1 ห่อ,125,100,125,1,5,900001706
115,ตะขอติดผนังขาคู่10560 IMM,1 โหล,168,12,168,14,20,
116,แผ่นแปะผมกล่อง01661 KKA,1 โหล,170,12,170,14,25,6.97571E+12
117,เข็มตลับตัดด้วยสายวัด(บาร์36316),1 โหล,90,12,90,8,15,
118,ใบมีดด้ามเขียว ด้ามทอง SAYURI 40ใบ (P5),1 กล่อง,78,1,78,78,5,
119,ขอแขวน1*2 (9648)#9468 หมุนขาเหล็ก,1 โหล,185,12,185,15,25,6.97504E+12
120,กระจกด้าม10329/13029 เหลี่ยม IMM,1 โหล,375,12,375,31,49,
121,พัดพลาสติกด้ามขาวคละลาย SAM (P20),1 โหล,140,12,140,12,20,1.22049E+14
122,กระเป๋าสตางค์#24447 หนังซิปเล็ก JCK (P15),1 โหล,85,12,85,7,15,
123,หวีจัมโบ้บิ๊ก สีชมพูฟ้า #105403 JSK (P10),1 โหล,42,12,42,4,10,105403
124,หวีด้ามสายเก่าเล็ก สีไม้#101907 JSK (P10),1 โหล,45,12,45,4,10,
125,ทัพพีเลสยักษ์#0 TP-231 TK,1 โหล,190,12,190,16,25,TP-231
126,ทัพพีแขกด้ามพลาสติกสี ตราสมอ PPL (P15),1 โหล,88,12,88,7,15,
127,"สดึงพลาสติกสีหวาน5"" TVA (P20)",6 ชิ้น,11,,66,0,20,
128,กล่องยากันหิ้ว (P20),1 โหล,135,12,135,11,20,30001029
129,หิ้งพระ#9 ขาเดียว(1*4ตัว) DT,1 แพค,405,4,405,,,
130,หิ้งพระ#13 ขาเดียว(1*4ตัว) DT,1 แพค,476,4,476,,,
131,หิ้งพระ#20 (ขาคู่)(1*2ตัว) DT,1 แพค,465,2,465,,,
132,หิ้งพระ#18-ขาเดียว(1*4ตัว) DT,1 แพค,690,4,690,,,
133,หิ้งพระ#16-ขาเดียว(1*4ตัว) DT,1 แพค,645,4,645,,,
1,ตู้ผ้าลดโลกร้อน 73x115x45ซม PWP,6 ชิ้น,339,1,2034,339,499,01-113-PWC
