ลำดับ,รายการ,จำนวน,ราคา/หน่วย,หน่วย,จำนวนเงิน,cost,ราคาขาย,Barcode
173,แกะหอยแครง9887 IMM,6 ชิ้น,14,1,84,14,25,
174,หม้ออวยหม้อหูหิ้ว24ซม.(ร่มไม่รับเปลี่ยน),2 ชิ้น,157,1,314,157,259,8.85931E+12
175,หม้ออวยหม้อหูหิ้ว26ซม.(ร่มไม่รับเปลี่ยน),2 ชิ้น,178,1,356,178,279,8.85931E+12
176,ขันเลส #18ซม (20u) #W018 SSS (PL),1 โหล,194,12,194,16,30,8.86E+12
177,ลวกเส้น-เลสตาข่าย12ซม S-102,6 ชิ้น,98,1,588,98,159,9.94235E+11
178,ลวกเส้น-เลสตาข่าย12ซมด้ามยาวเลสแบน,6 ชิ้น,87,1,522,87,159,6.95426E+12
179,บังแดดหน้ารถสีเงิน60*130ซม #2409,1 โหล,180,12,180,15,25,8.8594E+12
180,ดอกบัวตูมก้านยาว-คละสี (1x12) AMS,2 โหล,189,12,378,16,25,1.265E+14
181,ใส่ขวดน้ำติดรถยนต์(พลาสติก)#7100,1 แพค,90,6,90,15,29,8.8594E+12
182,หม้อแขกตราร่ม #26 UMA,3 ชิ้น,108,1,324,108,179,8.85931E+12
183,ป้ายพรบ-สี่เหลี่ยมกรอบใสหัวจุก+9660,1 โหล,165,12,165,14,25,1.98803E+12
184,พายซิลิโคนด้ามใส 10798 (1X12/1X24),1 โหล,190,12,190,16,25,8.8594E+12
185,แปรงซิลิโคน-ด้ามใสหุ้ม 10797,1 โหล,185,12,185,15,25,8.8594E+12
186,พายซิลิโคน-ด้ามใสหุ้ม 10796 (1X12/1X24),1 แพค,360,24,360,,,
187,พายซิลิโคน10801 (1X12/1X24) IMM,1 โหล,185,12,185,,,
188,ผ้าม้วน1ชิ้น(ผ้าเอนกประสงค์)(1X12)(p25),2 โหล,170,12,340,14,25,
189,กาวช้างแท้ อัลโก้ QS,5 โหล,180,12,900,15,25,8.8883E+12
190,หมวกอาบน้ำการ์ตูน-จัมโบ้,2 โหล,73,12,146,6,,
191,หมวกอาบน้ำมุกเล็ก45บ UD,2 โหล,73,12,146,,,
192,สายวัด01385/PN8977 KKA,2 โหล,50,12,100,4,10,9E+11
193,ด้ายเย็บผ้าวีนัส VENUS 1*12ชิ้น (หลอด),2 แพค,152,12,304,,,
194,ด้ายเย็บผ้าวีนัส VENUS 1*12ชิ้น (หลอด),2 แพค,147,12,294,,,
195,"เข็มเย็บกระสอบ5""10ชิ้น#4278 (112)",3 โหล,178,12,534,15,,1.98803E+12
196,โบว์เน็ต01269 (1*6) KKA,4 แพค,145,6,580,,,
197,ป้ายราคา115-ถุงแดง(112)16708 BKS,1 โหล,145,12,145,12,20,8.85171E+12
198,เทปโฟม2หน้า3M แผงแดง#CAT-110,6 ชิ้น,45,1,270,45,69,
199,บิลเงินสด-ปกน้ำตาล28ชุด เบอร์2 (110),6 แพค,80,10,480,8,15,8.85875E+12
200,บิลเงินสด-ปกน้ำตาล28ชุด เบอร์3 (110),6 แพค,50,10,300,5,10,8.85875E+12
201,ปากกาเมจิไพลอทตรากล่อง H-110 แดง(P10),1 กล่อง,49,12,49,4,10,8.85155E+12
202,ป้ายเชสราคาขึ้น10884A/B (91.3.5) IMM,1 โหล,120,12,120,10,20,8.8594E+12
203,ลวดอเนกประสงค์เส้นเล็ก#SC-197 (112),1 โหล,180,12,180,15,25,
204,ลวดอเนกประสงค์เส้นใหญ่(วงใหญ่) KAWA,1 โหล,180,12,180,15,25,sc062
205,ชุดสไลด์เดี่ยว#8040 (A-301)(100) PL,1 โหล,84,12,84,7,15,
206,ขันน้ำลายพม่า30ซม9-30 SB,4 ชิ้น,88,,352,0,159,
207,แม็กซ์ใหญ่10239/DL0306 (จับราคา) IMM,6 ชิ้น,38,,228,,,
208,ไส้แม็กซ์กล่องสีขาวK.PLATINUM(1*2) PV,2 กล่อง,54,24,108,,,
209,ไส้แม็กซ์เบอร์10กล่องเขียว-MAX(1*2),1 กล่อง,197,24,197,,,
210,ตัวตัดเทป OP กล่องกระดาษ #47582,1 โหล,175,12,175,15,,8.8594E+12
211,นาฬิกาปลุก สีหวานหน้าการ์ตูน JA-1001,2 ชิ้น,46,1,92,46,100,1.96209E+12
212,นาฬิกาปลุก หน้าปัดสี-เลขนูน JA-1001H-C,1 ชิ้น,46,1,46,46,100,1.96209E+12
213,เทปกาวอเนกประสงค์บิวทิว 5มม.,3 ชิ้น,29,1,87,29,69,8.85171E+12
