4/7/2568,,สมส่วน บูติค,,,,,Page 1/1
15:01:19,,รายงาน ประวัติการสร้างสินค้า,,,,,
R05.127,,ประจำปี 2568,,,,,
วันที่ เวลา สร้างสินค้า,,,รหัสสินค้า,,Barcode,รายการ,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,BB004,,BB004,ขวดนม 8ออนซ์ แฟนซีหัวหมี-ตรง-RB126R,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,CL008,,CL008,ใยขัด 6 ชิ้น #7002 (ฝอยเลส 2 ตาข่ายไบร์ท),
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,CER006,,8850090018,พานธรรมรง18 CM เงิน,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,CL003,,CL003,ชุดประหยัด 6004 (ฝอยและส + ไบร์ทติด),
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,BB010,,BB010,ขวดนม8ออนซ์โด้ง,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,CL006,,8.85712E+12,ฟองน้ำตาข่าย 1*5 (หนา) (บาร์ 74011),
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,CER004,,8850060014,พานนกยูง 14 CM สีเงิน,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
